swedish,english,example
en natur,nature,"Jag trivs bäst ute i naturen."
ett djur,an animal,"Vilket djur är du mest rädd för?"
en skog,a forest,"Vi promenerade länge i skogen."
en sjö,a lake,"Barnen badade i sjön."
en strand,a beach,"Stranden var nästan tom på morgonen."
ett berg,a mountain,"De vandrade upp på berget."
en insekt,an insect,"Det finns många insekter på sommaren."
ett rovdjur,a predator,"Vargen är ett rovdjur."
en orm,a snake,"Han såg en orm vid stigen."
en björn,a bear,"Björnen försvann snabbt in i skogen."
en varg,a wolf,"Vargen är ett omdiskuterat djur i Sverige."
farlig,dangerous,"Det kan vara farligt att gå nära vilda djur."
giftig,poisonous,"Vissa svampar är giftiga."
vild,wild,"Vi såg vilda rådjur på kvällen."
skydda,to protect,"Man måste skydda hotade arter."
hota,to threaten,"Föroreningar hotar många djurarter."
överleva,to survive,"Djuren måste överleva vintern."
jaga,to hunt,"Förr jagade människor för att få mat."
försvinna,to disappear,"Vissa arter riskerar att försvinna."
en nationalpark,a national park,"Vi besökte en nationalpark i somras."
en art,a species,"Den här arten finns bara i Norden."
ett spår,a track / trail,"Vi såg spår efter älg i snön."
sällsynt,rare,"Det är en sällsynt fågel i Sverige."
utrota,to wipe out / exterminate,"Människan har utrotat många arter."
en vandring,a hike,"Vi gjorde en lång vandring i fjällen."
andas frisk luft,to breathe fresh air,"Det är skönt att andas frisk luft ute på landet."
