swedish,english,example
sann,true,"Det är sant att hon flyttade i våras."
falsk,false,"Polisen upptäckte ett falskt pass."
ljuga,to lie,"Man ska inte ljuga för sina vänner."
en sanning,truth,"Till slut berättade han sanningen."
en lögn,a lie,"Det började med en liten lögn."
erkänna,to admit,"Till slut erkände han allt."
misstänka,to suspect,"De misstänkte att något var fel."
bevisa,to prove,"Det är svårt att bevisa vem som gjorde det."
hemlig,secret,"Hon har en hemlig plan."
ett rykte,a rumor,"Ett rykte spreds snabbt på skolan."
trovärdig,credible,"Vittnet verkade trovärdigt."
lura,to trick / deceive,"Barnen försökte lura mig."
överdriva,to exaggerate,"Han brukar överdriva när han berättar något."
gissa,to guess,"Kan du gissa vem som ringde?"
tro,to think / believe,"Jag tror inte på allt jag läser."
tänka,to think,"Vad tänker du om saken?"
tycka,to think / have an opinion,"Jag tycker att hon gjorde rätt."
mest,most,"Vilken historia var mest spännande?"
värst,worst,"Det värsta var att ingen lyssnade."
bäst,best,"Det bästa är alltid att säga sanningen."
förvirrad,confused,"Jag blev förvirrad av alla olika versioner."
skämta,to joke,"Jag trodde först att han skämtade."
avslöja,to reveal,"Tidningen avslöjade sanningen dagen efter."
en halvsanning,a half-truth,"Det han sa var bara en halvsanning."
en hemlighet,a secret,"Kan du behålla en hemlighet?"
