swedish,english,example
en lön,a salary,"Hon har en ganska hög lön."
en inkomst,an income,"Familjens inkomst räcker precis."
en utgift,an expense,"Hyran är vår största utgift."
en budget,a budget,"Vi gjorde en budget för hushållet."
en konsumtion,consumption,"Hög konsumtion påverkar klimatet."
betala av,to pay off,"De betalar av sitt lån långsamt."
ett lån,a loan,"Hon tog ett lån för att köpa bil."
en skuld,a debt,"Många vill bli av med sina skulder."
rik,rich,"Han tror inte att pengar gör en rik på riktigt."
fattig,poor,"Boken handlar om skillnaden mellan rik och fattig."
en lycka,happiness,"För mig betyder lycka tid med familjen."
vara lycklig,to be happy,"Man kan vara lycklig utan mycket pengar."
en miljö,environment,"Vi måste tänka mer på miljön."
ett klimat,climate,"Klimatet förändras snabbt."
återvinna,to recycle,"Vi återvinner glas och papper hemma."
slänga,to throw away,"Släng inte mat i onödan."
ett utsläpp,an emission,"Bilen orsakar stora utsläpp."
prioritera,to prioritize,"Man måste prioritera mellan olika utgifter."
ett köp,a purchase,"Det var ett onödigt köp."
hållbar,sustainable,"Vi behöver mer hållbara vanor."
ha råd,to be able to afford,"Har du råd att resa i sommar?"
en återvinningsstation,a recycling station,"Det finns en återvinningsstation nära oss."
konsumera,to consume,"Vi konsumerar mer än vi behöver."
vara värd,to be worth,"Jag tycker att upplevelsen var värd pengarna."
ju ... desto,the ... the ...,"Ju mer man sparar desto tryggare känner man sig."
leva enkelt,to live simply,"Vissa vill leva enkelt och stressfritt."
