swedish,english,example
en högtid,a holiday / festival,"Julen är en viktig högtid för många."
en tradition,a tradition,"Familjen har en stark tradition att fira tillsammans."
fira,to celebrate,"Vi firar midsommar på landet."
en släkt,family / relatives,"Hela släkten samlas varje år."
en gäst,a guest,"Vi får många gäster på julafton."
en present,a present,"Barnen öppnade sina presenter direkt."
en middag,a dinner,"Påskmiddagen var väldigt god."
pynta,to decorate,"Barnen pyntade granen tillsammans."
en gran,a Christmas tree / spruce,"Granen står redan i vardagsrummet."
en psalm,a hymn,"De sjöng en psalm i kyrkan."
en dikt,a poem,"Hon skrev en dikt till sin mormor."
en högtidsmat,holiday food,"På julen äter många traditionell högtidsmat."
gammaldags,old-fashioned,"Hon gillar gammaldags julpynt."
högtidlig,solemn / festive,"Det var en högtidlig stämning i kyrkan."
önska,to wish,"Jag önskar dig en riktigt god jul."
fred och ro,peace and quiet,"På landet får man lite fred och ro."
en julafton,Christmas Eve,"Vi firar med hela familjen på julafton."
skål,cheers,"Alla höjde glasen och sa skål."
traditionsenlig,traditional,"Vi åt en traditionsenlig midsommarlunch."
sjunga,to sing,"De sjöng tillsammans runt granen."
tända,to light,"Kan du tända det sista ljuset?"
en tomte,Santa / Christmas elf,"Barnen väntade på tomten."
hoppas på,to hope for,"Många hoppas på snö till jul."
andra advent,the second Advent,"På andra advent brukar vi baka."
en helgdag,a public holiday,"Butiken är stängd på helgdagar."
