swedish,english,example
en polis,a police officer,"Polisen kom till platsen snabbt."
ett brott,a crime,"Det var ett allvarligt brott."
en stöld,a theft,"Butiken anmälde stölden direkt."
en tjuv,a thief,"Tjuven sprang från platsen."
ett straff,a punishment,"Straffet blev hårdare än väntat."
en dom,a verdict / judgment,"Domstolen meddelade sin dom i går."
en domstol,a court,"Målet togs upp i domstolen."
en misstänkt,a suspect,"Polisen förhörde en misstänkt person."
ett vittne,a witness,"Ett vittne såg vad som hände."
anhålla,to detain,"Mannen anhölls sent på kvällen."
gripa,to arrest,"Polisen grep två personer."
förhöra,to question / interrogate,"De förhörde vittnet länge."
en brottsplats,a crime scene,"Polisen spärrade av brottsplatsen."
ett bevis,evidence / a piece of evidence,"Det fanns inte tillräckliga bevis."
olycklig,unfortunate,"Det var en olycklig händelse."
skadad,injured,"En person blev lätt skadad."
stjäla,to steal,"Någon försökte stjäla hennes cykel."
råna,to rob,"Butiken rånades på natten."
vittna,to testify / be a witness,"Två personer vittnade i rätten."
en nyhetsnotis,a news item,"Hon skrev en kort nyhetsnotis om olyckan."
en händelse,an incident / event,"Polisen beskrev händelsen i detalj."
sin egen,one's own,"Han försvarade sin egen version av det som hänt."
bli gripen,to be arrested,"Tjuven blev gripen samma kväll."
vara skyldig,to be guilty,"Det är domstolen som avgör om någon är skyldig."
vara oskyldig,to be innocent,"Hon sa att hon var oskyldig."
på platsen,at the scene,"Ambulansen var snabbt på platsen."
