swedish,english,example
en plats,a place,"Det här är min favoritplats i staden."
ett smultronställe,a hidden gem,"Vi hittade ett smultronställe vid sjön."
en utsikt,a view,"Utsikten från kullen är fantastisk."
en gata,a street,"Det ligger en bra restaurang på den gatan."
ligga vid,to be situated by,"Stugan ligger vid havet."
en film,a film,"Vi såg en intressant film igår kväll."
en regissör,a director,"Regissören är känd i hela Norden."
spela in,to record / film,"De spelade in serien i Göteborg."
en handling,a plot,"Filmens handling var lätt att följa."
spännande,exciting,"Det var en spännande thriller."
rörande,moving,"Slutet var väldigt rörande."
en maträtt,a dish,"Restaurangen serverar en klassisk svensk maträtt."
en ingrediens,an ingredient,"Vilka ingredienser behöver vi?"
smaka,to taste,"Soppan smakar bättre idag."
kryddig,spicy / seasoned,"Jag gillar kryddig mat."
steka,to fry,"Han stekte fisken i smör."
koka,to boil,"Pastan ska koka i tio minuter."
baka,to bake,"Min mormor älskar att baka bröd."
ett recept,a recipe,"Jag hittade receptet på nätet."
servera,to serve,"De serverar lunch fram till två."
mysig,cozy,"Det är ett mysigt litet kafé."
rekommendera,to recommend,"Kan du rekommendera en bra film?"
berömd,famous,"Staden är berömd för sina restauranger."
vara sugen på,to feel like / crave,"Jag är sugen på något varmt att äta."
