swedish,english,example
en familj,a family,"Min familj bor i tre olika länder."
en släkting,a relative,"En släkting kommer på besök i helgen."
en familjemedlem,a family member,"Varje familjemedlem hjälpte till."
uppfostra,to raise,"Det är inte lätt att uppfostra tonåringar."
en uppväxt,an upbringing,"Hon hade en trygg uppväxt på landet."
en bostad,a home / housing,"Det är svårt att hitta bostad i storstäder."
en lägenhet,an apartment,"De hyr en liten lägenhet i centrum."
ett radhus,a terraced house,"Familjen flyttade till ett radhus."
ett bostadsområde,a residential area,"Det är ett lugnt bostadsområde."
ett boende,housing / living,"Studentboende är ofta dyrt i Stockholm."
ligga,to lie / be situated,"Boken ligger på bordet."
lägga,to lay / put,"Lägg nycklarna i skålen."
stå,to stand,"Glasen står i skåpet."
ställa,to place / stand,"Kan du ställa stolen vid väggen?"
hänga,to hang,"Jackan hänger bakom dörren."
sätta upp,to put up / hang,"Vi ska sätta upp en hylla i hallen."
flytta ihop,to move in together,"De planerar att flytta ihop nästa år."
trång,crowded / cramped,"Lägenheten känns trång för fyra personer."
rymlig,spacious,"Det nya köket är ljust och rymligt."
hemma hos,at someone's home,"Vi åt middag hemma hos min syster."
arg på,angry with,"Han är arg på sin bror just nu."
stolt över,proud of,"Föräldrarna är stolta över sitt barn."
ledsen över,sorry about,"Jag är ledsen över att jag kom sent."
sakna,to miss,"Hon saknar sin familj varje dag."
gräla,to quarrel,"Syskonen brukade gräla mycket som barn."
en personbeskrivning,a personal description,"I uppgiften skrev hon en personbeskrivning av sin farfar."
