swedish,english,example
en arbetsgivare,an employer,"Arbetsgivaren söker personal med erfarenhet."
en anställning,employment,"Hon fick en fast anställning efter provperioden."
heltid,full-time,"Jag vill helst arbeta heltid."
deltid,part-time,"Just nu jobbar han deltid."
en tjänst,a position / job,"Jag tänker söka tjänsten som administratör."
söka jobb,to apply for jobs,"Många unga söker jobb efter studenten."
ett personligt brev,a personal letter / cover letter,"Skriv ett tydligt personligt brev."
ett cv,a CV,"Du bör uppdatera ditt cv innan du skickar det."
en yrkeserfarenhet,work experience,"Jag har yrkeserfarenhet från hotellbranschen."
en kompetens,competence / skills,"God social kompetens är meriterande."
en merit,a qualification / merit,"Språkkunskaper är en viktig merit."
en provanställning,a probationary employment,"Jobbet börjar med sex månaders provanställning."
ett lönesamtal,salary discussion,"Vi hade lönesamtal i fredags."
en kollega,a colleague,"Mina kollegor är trevliga och hjälpsamma."
en arbetsmiljö,work environment,"En bra arbetsmiljö är viktig för alla."
utvecklas,to develop,"Jag vill utvecklas i min yrkesroll."
anställa,to hire,"Företaget ska anställa två nya personer."
en referens,a reference,"Kan du ange två referenser i ansökan?"
passa för,to suit,"Jag tror att jag passar för jobbet."
en referensperson,a referee / reference person,"Du kan ange din chef som referensperson."
den här,the one here / this one,"Den här tjänsten verkar mycket intressant."
dessa,these,"Dessa erfarenheter har hjälpt mig mycket."
en arbetsuppgift,a work task,"Mina arbetsuppgifter varierar från dag till dag."
engagerad,committed,"Jag är en engagerad och pålitlig person."
