swedish,english,example
ett perspektiv,a perspective,"Texten tar upp frågan ur flera perspektiv."
en föreställning,a performance,"Vi såg en föreställning på stadsteatern."
en teater,theatre,"Hon älskar både teater och dans."
en publik,audience,"Publiken applåderade länge efter konserten."
en konstform,an art form,"Film är en konstform som når många människor."
en konsert,a concert,"Biljetterna till konserten tog snabbt slut."
ett skapande,creative work / creation,"Skapande arbete ger henne energi."
ett arbetsliv,working life,"Många diskuterar balansen mellan kultur och arbetsliv."
en karriär,a career,"Han bytte karriär vid fyrtio års ålder."
ett samarbete,cooperation,"Projektet lyckades tack vare bra samarbete."
en kontrast,contrast,"Texten bygger på en tydlig kontrast mellan stad och land."
ett resonemang,a line of reasoning,"Hennes resonemang var tydligt och nyanserat."
arbetsvillkor,working conditions,"Många diskuterar arbetsvillkor i kultursektorn."
på grund av,because of,"Föreställningen ställdes in på grund av sjukdom."
föra fram,to put forward,"I artikeln för hon fram flera viktiga argument."
en orsak,a cause,"Vi måste förstå orsaken till problemet."
en förklaring,an explanation,"Finns det någon enkel förklaring till förändringen?"
utreda,to investigate / analyze,"Rapporten utreder skillnader mellan olika yrken."
ett argument,an argument,"Han hade starka argument för sitt förslag."
nyansera,to nuance,"Det är viktigt att nyansera debatten."
komplex,complex,"Frågan är mer komplex än den verkar."
skapa möjligheter,to create opportunities,"Kultur kan skapa möjligheter för unga."
en utredande text,an analytical text,"I slutet av kursen skrev vi en utredande text."
i längden,in the long run,"I längden behöver alla ett hållbart arbetsliv."
