swedish,english,example
en viking,a Viking,"Vikingarna reste långt över haven."
en saga,a legend / saga,"Läraren läste en gammal saga för klassen."
en myt,a myth,"Det finns många myter om troll."
ett skrock,superstition,"Skrock lever kvar än idag."
ett troll,a troll,"Barnen tyckte att sagan om trollet var rolig."
en gud,a god,"Oden var en viktig gud i nordisk mytologi."
en hjälte,a hero,"I berättelsen räddar hjälten byn."
en fiende,an enemy,"Hjälten besegrade sin fiende."
en skatt,a treasure,"De letade efter en gömd skatt."
ett svärd,a sword,"Han drog sitt svärd ur stenen."
övernaturlig,supernatural,"Berättelsen har flera övernaturliga inslag."
ond,evil,"Sagan handlar om kampen mellan gott och ont."
märklig,strange,"Det hände något märkligt den natten."
berätta vidare,to pass on / retell,"Historien berättades vidare i generationer."
tro på,to believe in,"Förr trodde många på väsen i skogen."
varna,to warn,"Modern varnade barnen för berget."
lyda,to obey,"Barnen måste lyda sina föräldrar."
ett spöke,a ghost,"Det sägs att ett spöke går igen där."
då,then / at that time,"Då förstod han att något var fel."
nu för tiden,nowadays,"Nu för tiden läser färre gamla sagor."
referera,to summarize / report,"Eleverna fick referera en saga skriftligt."
en hövding,a chieftain,"Hövdingen ledde gruppen genom vintern."
i generationer,for generations,"Berättelsen har levt kvar i generationer."
