swedish,english,example
ett vardagsknep,an everyday trick / life hack,"Min mormor kan många smarta vardagsknep."
praktisk,practical,"Det här är en praktisk lösning i ett litet kök."
effektiv,efficient,"Det här är en effektiv metod."
reparera,to repair,"Kan du reparera lampan?"
laga,to fix / repair,"Han lagade cykeln själv."
montera,to assemble,"Vi monterade hyllan tillsammans."
förvara,to store,"Var förvarar du vinterkläderna?"
organisera,to organize,"Jag måste organisera skrivbordet bättre."
förenkla,to simplify,"Den här appen förenklar vardagen."
spara tid,to save time,"Att planera maten sparar tid."
slänga mindre,to throw away less,"Vi försöker slänga mindre mat hemma."
återanvända,to reuse,"Gamla burkar kan man återanvända."
torka,to dry / wipe,"Torka bordet efter maten."
rengöra,to clean,"Du bör rengöra kaffemaskinen ofta."
öppnas,to be opened (passive),"Dörren öppnas med kod."
stängas,to be closed (passive),"Butiken stängs klockan åtta."
användas,to be used (passive),"Den här kniven används till bröd."
byggas,to be built (passive),"Huset byggdes på 1970-talet."
förbjudas,to be banned (passive),"Rökning förbjuds på skolgården."
en laddare,a charger,"Var är min laddare?"
en sladd,a cable,"Sladden är för kort."
ett verktyg,a tool,"Jag behöver rätt verktyg för jobbet."
en manual,a manual / instructions,"Läs manualen innan du börjar."
en ordning,order / tidiness,"Jag vill ha bättre ordning hemma."
en röra,a mess,"Det blir lätt en röra i hallen."
genom att,by / by means of,"Man kan spara el genom att släcka lamporna."
