swedish,english,example
våga,to dare,"Hon vågade säga vad hon tyckte."
en rädsla,fear,"Rädslan gjorde det svårt att sova."
ett mod,courage,"Det krävs mod för att börja om."
anpassa sig,to adapt,"Det tar tid att anpassa sig till en ny stad."
en flytt,a move,"Flytten tog hela helgen."
ny start,a new start,"För honom blev flytten en ny start."
ensam,alone,"Hon kände sig ensam i början."
trygg,safe / secure,"Barn behöver känna sig trygga hemma."
en oro,worry,"Det finns mycket oro kring framtiden."
ett näthat,online hate,"Näthat är ett växande problem."
kränka,to insult / violate,"Ingen ska behöva bli kränkt på nätet."
säga ifrån,to speak up,"Man måste våga säga ifrån."
reagera,to react,"Hur ska man reagera i en sådan situation?"
försvara sig,to defend oneself,"Han försökte försvara sig lugnt."
ignorera,to ignore,"Ibland är det bäst att ignorera troll."
nog,probably / surely,"Det blir nog bättre med tiden."
väl,surely / presumably,"Du kommer väl ihåg mötet imorgon?"
vad som helst,anything,"Jag skulle göra vad som helst för mina barn."
var som helst,anywhere,"Hon kan bo var som helst så länge hon har jobb."
en insändare,a letter to the editor,"Han skrev en insändare om näthat."
utsatt,vulnerable / exposed,"Barn och unga kan vara extra utsatta på nätet."
en flyttkartong,a moving box,"Vi behöver fler flyttkartonger."
börja om,to start over,"Efter skilsmässan ville hon börja om."
ta steget,to take the step,"Till slut tog hon steget och flyttade."
