swedish,english,example
en politik,politics,"Hon är intresserad av politik."
ett parti,a political party,"Vilket parti tänker du rösta på?"
en regering,a government,"Regeringen presenterade ett nytt förslag."
en röst,a vote / voice,"Varje röst är viktig i ett val."
rösta,to vote,"Många unga röstar för första gången i år."
ett val,an election,"Valet hålls i september."
en lag,a law,"Det behövs en tydligare lag."
en rättighet,a right,"Utbildning är en viktig rättighet."
en skyldighet,a duty / obligation,"Att betala skatt är en skyldighet."
en skatt,tax,"Skatten finansierar vård och skola."
en vård,healthcare,"Många vill förbättra vården."
en skola,school / the school system,"Skolan behöver fler lärare."
arbetslös,unemployed,"Han blev arbetslös efter sommaren."
sysselsättning,employment,"Kommunen vill öka sysselsättningen."
en demokrati,a democracy,"Sverige är en demokrati."
en väljare,a voter,"Många väljare är fortfarande osäkra."
en opposition,opposition,"Oppositionen kritiserade förslaget."
debattera,to debate,"Kandidaterna debatterade på tv."
en åsikt,an opinion,"Alla har rätt till sin åsikt."
hålla med,to agree,"Jag håller inte med min granne i den frågan."
rättvis,fair,"Systemet borde vara mer rättvist."
en jämlikhet,equality,"Partiet talade mycket om jämlikhet."
en yttrandefrihet,freedom of speech,"Yttrandefrihet är en grundläggande rättighet."
ett partiprogram,a party platform,"Hon läste partiets partiprogram före valet."
