swedish,english,example
en tid,time,"Vi lever i en svår tid."
en historia,history,"Jag är intresserad av Sveriges historia."
en kung,a king,"Kungen bodde i slottet."
en drottning,a queen,"Drottningen nämns i många berättelser."
ett krig,a war,"Kriget förändrade hela regionen."
en fred,peace,"Efter många år kom freden tillbaka."
en epok,an era,"Det var en viktig epok i nordisk historia."
förr,in the past,"Förr reste man mycket långsammare."
numera,nowadays,"Numera finns information överallt."
under tiden,during that time / meanwhile,"Under tiden bodde familjen i Malmö."
ett århundrade,a century,"Sverige förändrades mycket under 1900-talet."
förändras,to change,"Samhället förändrades snabbt."
minnas,to remember,"Min morfar minns kriget väl."
glömd,forgotten,"Det är en nästan glömd historia."
Norden,the Nordic countries,"Många ser Norden som en region med nära samarbete."
ett grannland,a neighboring country,"Danmark är ett grannland till Sverige."
en påverkan,influence,"Tysk påverkan märks i vissa svenska ord."
ett ursprung,origin,"Ordet har sitt ursprung i latin."
på den tiden,at that time,"På den tiden reste folk med häst och vagn."
leva under,to live during,"Hon levde under 1800-talet."
dåvarande,then / at that time,"Den dåvarande kungen var mycket ung."
vid den tiden,at that time,"Vid den tiden fanns det inga bilar här."
så småningom,eventually,"Så småningom blev staden ett viktigt centrum."
en utveckling,development,"Den tekniska utvecklingen gick långsamt då."
