swedish,english,example
en vän,a friend,"Hon är en nära vän till mig."
en vänskap,a friendship,"Deras vänskap har varat länge."
en bekant,an acquaintance,"Jag träffade en gammal bekant på stan."
umgås,to spend time together,"Jag gillar att umgås med mina vänner."
ett första intryck,a first impression,"Det första intrycket kan vara fel."
stötta,to support,"Hon stöttade mig när jag hade det svårt."
svika,to let down / betray,"Han svek sin bästa vän."
uppriktig,sincere,"Hon gav ett uppriktigt svar."
öppen,open,"Min syster är väldigt öppen som person."
en konflikt,a conflict,"De hade en konflikt men blev vänner igen."
en konstnär,an artist,"Hon drömmer om att bli konstnär."
en tavla,a painting,"Det hänger en tavla på väggen."
en utställning,an exhibition,"Vi gick på en utställning i helgen."
ett museum,a museum,"Museet visar modern konst."
en konst,art,"Jag tycker att konst kan vara väldigt personlig."
en bild,a picture / image,"Bilden föreställer en gammal stad."
måla,to paint,"Han brukar måla på kvällarna."
rita,to draw,"Barnet ritade ett hus och ett träd."
skapa,to create,"Hon vill skapa något eget."
inspirera,to inspire,"Resor inspirerar honom mycket."
uttrycka sig,to express oneself,"Konst hjälper människor att uttrycka sig."
gemensam,shared / mutual,"De har ett gemensamt intresse för musik."
lära känna,to get to know,"Det tar tid att lära känna någon."
ha kontakt,to keep in touch,"Vi har fortfarande kontakt efter många år."
tolka,to interpret,"Alla tolkar konst på sitt eget sätt."
ha samma humor,to have the same sense of humor,"Det är lättare att bli vän när man har samma humor."
