swedish,english,example
en fritid,free time,"På min fritid spelar jag fotboll."
en sport,a sport,"Tennis är en populär sport i Sverige."
träna,to exercise / train,"Jag tränar på gymmet två gånger i veckan."
en idrottsförening,a sports club,"Hon är med i en idrottsförening."
en match,a match / game,"Vi vann matchen igår."
en tävling,a competition,"Nästa månad ska han delta i en tävling."
ett gym,a gym,"Det nya gymmet ligger nära mitt jobb."
en instruktör,an instructor,"Instruktören visade hur övningen fungerar."
en kurs,a course,"Jag går en kurs i simning."
en utrustning,equipment,"Du kan låna utrustning där."
en medlem,a member,"Alla medlemmar får rabatt."
en avgift,a fee,"Avgiften är ganska låg för studenter."
anmäla sig,to sign up,"Man måste anmäla sig i förväg."
lediga tider,available times,"Finns det några lediga tider på kvällen?"
hålla igång,to stay active,"Jag försöker hålla igång varje vecka."
förbättra konditionen,to improve fitness,"Hon vill förbättra konditionen före sommaren."
en styrketräning,strength training,"Styrketräning passar mig bättre än löpning."
en löpning,running,"Löpning är bra för hälsan."
simma,to swim,"Barnen lär sig simma i skolan."
en friskvård,wellness / exercise benefits,"Många jobb erbjuder friskvård."
ett omklädningsrum,a changing room,"Omklädningsrummet är på andra våningen."
öppet,open,"Gymmet är öppet från sex till tio."
stängt,closed,"Receptionen är stängd på söndagar."
passa,to suit / fit,"Den här kursen passar min nivå."
fråga om information,to ask for information,"Jag vill fråga om information om kursen."
ett träningsprogram,a training program,"Kan ni skicka information om ert träningsprogram?"
