swedish,english,example
en personlighet,a personality,"Hon har en stark personlighet."
en egenskap,a characteristic,"Tålamod är en bra egenskap."
ett kvitto,a receipt,"Spara kvittot om du vill reklamera varan."
reklamera,to make a complaint / return,"Jag vill reklamera den här varan."
en reklamation,a complaint,"Butiken svarade snabbt på min reklamation."
ett fel,a fault / defect,"Det finns ett fel på produkten."
en leverans,a delivery,"Leveransen kom två dagar för sent."
en kundtjänst,customer service,"Jag ringde kundtjänst i morse."
missnöjd,dissatisfied,"Jag är missnöjd med kvaliteten."
en garanti,a warranty,"Produkten har två års garanti."
bemöta,to treat / respond to,"Personalen bemötte mig vänligt."
byta,to exchange,"Kan jag byta varan mot en ny?"
få tillbaka,to get back,"Jag vill få tillbaka pengarna."
returnera,to return,"Du kan returnera paketet gratis."
trasig,broken,"Telefonen var trasig efter en vecka."
en återbetalning,a refund,"Jag vill ha en full återbetalning."
tydlig,clear,"Brevet måste vara tydligt och konkret."
ersätta,to compensate / replace,"Kan ni ersätta den trasiga varan?"
ett missförstånd,a misunderstanding,"Kanske har det skett ett missförstånd."
en svår person,a difficult person,"Han kan vara en svår person att samarbeta med."
det är ... som,it is ... that,"Det är servicen som jag är mest missnöjd med."
orsaka,to cause,"Felet orsakade stora problem."
en upplevelse,an experience,"Det var en väldigt dålig upplevelse som kund."
en kund,a customer,"Som kund förväntar jag mig bättre service."
